name,surname,dob,parents,spouse,children
Cornelia,Emmersohn,01/02/1977,"sami, Merry",Otto,"John, Jamie, Amie"
Sami,Korrapati,26/03/1955,"Pradip, Neela", Merry,"Cornelia, Josh"
Merry,korrapati,27/01/1955,"Chun, Innaya",Sami,"Cornelia, Josh"
Pradip,Korrapati,18/02/1920,"",neela,"Sami, Nand"
neela,Korrapati,22/11/1920,"",Pradip,"Sami, Nand"
chun,Tang,16/09/1955,"",innaya,"Merry, john, Anne"
innaya,Tang,15/08/1935,"",Chun,"Merry, john, Anne"
Otto,Emmersohn,13/07/1975,"Costas, Irene",Cornelia,"John, Jamie, Amie"
Costas,Emmersohn,22/06/1944,"Leonidas, feige",Rebeca,"Otto, Leta, Gerald, Luca"
Irene,Aldo,20/12/1944,"Romeo, Antonina",,"Otto, Leta, Gerald"
Rebeca,Emmersohn,08/10/1977,"Gavril, Delia",Costas,"Luca"
Leonidas,Emmersohn,29/08/1930,"",feige,"Costas, Sharleen"
Feige,Emmersohn,30/09/1930,"",Leonidas,"Costas, Sharleen"
Romeo,Aldo,05/09/1940,"",Antonina,"Irene, Alekos"
Antonina,Aldo,31/09/1940,"",Romeo,"Irene, Alekos"
Gavril,Felix,07/07/1955,"",Delia,"Rebecca"
Delia,Felix,06/08/1955,"",Gavril,"Rebecca"
John,Emmersohn,18/05/2004,"Cornelia, Otto",,""
Jamie,Emmersohn,01/04/2003,"Cornelia, Otto",,""
Amie,Emmersohn,05/05/2001,"Cornelia, Otto",,""
Josh,korrapati,27/06/1977,"sami, merry",Jade,"Sara"
Jade,korrapati,08/07/1977,"",Josh,"Sara"
Sara,korrapati,02/02/2000,"Josh, Jade",,""
Nand,korrapati,09/01/1955,"Paradip, Neela",Sana,"Rashi"
Sana,korrapati,09/02/1954,"",Nand,"Rashi"
Rashi,korrapati,07/07/2000,"Nand, Sana",,""
John,Tang,09/01/1933,"",Hue,""
Hue,Tang,09/03/1933,"",John,""
Anne,Tang,08/08/1931,"",,""
Leta,Myles,08/04/1991,"Costas, Irene",Jade,"Maria, Thames"
Maria,Myles,09/08/2010,"Leta, Jade",,""
Thames,Myles,09/03/2011,"Leta, Jade",,""
Jade,Myles,09/01/1991,"",Leta,"Maria, Thames"
Gerald,Emmersohn,08/05/1989,"Costas, Irene",,""
Luca,Emmersohn,09/01/2000,"otto, Rebecca",,""
Sharleen,Marley,10/12/1988,"Leonidas, feige",David,""
David,Marley,27/01/1988,"",Sharleen,""
Alekos,Aldo,01/01/1934,"Romeo, Antonina",Natalia,""
Natalia,Alddo,09/03/1933,"",Alekos,""

